StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,C1,D1,D2,D2_7_TEXT,D3,D3_8_TEXT,D4,D4_13_TEXT,D5_1,D6,D7,D8,Q37,Q36,Q35,Q26_1,Q38,Q32,Q33,Q34,Q29_1,Q39,WPS_1,WPS_2,WPS_3,WPS_4,WPS_5,WPS_6,WG_1,WG_2,WG_3,WG_4,WG_5,WG_6,MRS_1,MRS_2,MRS_3,MRS_4,MRS_5,MRS_6,MRS_7,RGP_1,RGP_2,RGP_3,RGP_4,RGP_5,RGP_6,RGP_7,RGP_8,RGP_9,Q40,CSER_1,CSER_2,CSER_3,CSER_4,CSER_5,CSER_6,CSER_7,CSER_8,CSER_9,CSER_10,CSER_11,CSER_12,CSER_13,CSER_14,CSER_15,CSER_16,CSER_17,SDO_1,SDO_2,SDO_3,SDO_4,SDO_5,SDO_6,SDO_7,SDO_8,SDO_9,SDO_10,SDO_11,SDO_12,SDO_13,SDO_14,SDO_15,SDO_16,SDO_17,FL_29_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to participation in this study?,What is your age?,What is your gender identity? - Selected Choice,What is your gender identity? - Other - Text,What racial group (or groups) do you identify as? - Selected Choice,What racial group (or groups) do you identify as? - Other (Please Specify) - Text,What is your religious affiliation? - Selected Choice,What is your religious affiliation? - Other (Please Specify) - Text,What is your political affiliation? - Your Affiliation,"What would you estimate is your family's total household income, before taxes?",What is the highest education level attained by your mother?,What is the highest education level attained by your father?,Example 1,Example 2,Example 3,Where would you rank yourself on the ladder relative to those at the very bottom? - Your perceived ranking relative to those at the bottom of the ladder,Please select A.,Example 1,Example 2,Example 3,Where would you rank yourself on the ladder relative to those at the very top? - Your perceived ranking relative to those at the top of the ladder,Please select A.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 1. White people have certain advantages that minorities do not have in this society.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 2. My status as a White person grants me unearned privileges in today’s society.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 3. I feel that White skin in the United States opens many doors for Whites during their everyday lives.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 4. I do not feel that White people have any benefits or privileges due to their race.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 5. My skin color is an asset to me in my everyday life.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 6. Please select Strongly Agree,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 1. Although I feel my behavior is typically nondiscriminatory toward Blacks, I still feel guilt due to my association with the White race.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 2. I feel guilty about the past and present social inequality of Black Americans.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 3. I do not feel guilty about social inequality between White and Black Americans.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 4. When I learn about racism, I feel guilt due to my association with the White race.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 5. I feel guilty about the benefits and privileges that I receive as a White American.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 6. Please select Moderately Disagree,Please indicate your level of agreement (or disagreement) with each of the following statements. - 1. Discrimination against Black people is no longer a problem in the United States.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 2. It is easy to understand the anger of Black people in America.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 3. Black people are getting too demanding in their push for equal rights.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 4. Black people should not push themselves where they are not wanted.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 5. Over the past few years, Black people have gotten more economically than they deserve.","Please indicate your level of agreement (or disagreement) with each of the following statements. - 6. Over the past few years, the government and news media have shown more respect to Black people then they deserve.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 7. Please select Neutral,"Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Black People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - White People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Muslim People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Christian People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Jewish People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - LGBTQA People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Heterosexual People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Agnostic People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Atheist People",Please select C.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 1. Overall, my race has very little to do with how I feel about myself.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 2. My race is an important reflection of who I am.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 3. My race is unimportant to my sense of what kind of a person I am.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 4. In general, my race is an important part of my self-image.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 5. I am a worthy member of the race I belong to.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 6. I often regret that I belong to the race I do.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 7. Overall, my race is considered good by others.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 8. I feel I don’t have much to offer to the race I belong to.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 9. In general, I’m glad to be a member of the race I belong to.","Please indicate your level of agreement (or disagreement) with each of the following statements. - 10. Most people consider my race, on the average, to be more ineffective than other racial groups.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 11. I am a cooperative participant in the race I belong to.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 12. Overall, I often feel that the race of which I am a member is not worthwhile.","Please indicate your level of agreement (or disagreement) with each of the following statements. - 13. In general, others respect the race that I am a member of.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 14. I often feel I am a useless member of my race.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 15. I feel good about the race I belong to.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 16. In general, others think that the race I am a member of is unworthy.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 17. Please select Slightly Disagree,Please indicate your level of favor (or opposition) to each of the following statements - 1. Some groups of people must be kept in their place.,Please indicate your level of favor (or opposition) to each of the following statements - 2. It’s probably a good thing that certain groups are at the top and other groups are at the bottom.,Please indicate your level of favor (or opposition) to each of the following statements - 3. An ideal society requires some groups to be on top and others to be on the bottom.,Please indicate your level of favor (or opposition) to each of the following statements - 4. Some groups of people are simply inferior to other groups.,Please indicate your level of favor (or opposition) to each of the following statements - 5. Groups at the bottom are just as deserving as groups at the top.,Please indicate your level of favor (or opposition) to each of the following statements - 6. No one group should dominate in society.,Please indicate your level of favor (or opposition) to each of the following statements - 7. Groups at the bottom should not have to stay in their place.,Please indicate your level of favor (or opposition) to each of the following statements - 8. Group dominance is a poor principle.,Please indicate your level of favor (or opposition) to each of the following statements - 9. We should not push for group equality.,Please indicate your level of favor (or opposition) to each of the following statements - 10. We shouldn’t try to guarantee that every group has the same quality of life.,Please indicate your level of favor (or opposition) to each of the following statements - 11. It is unjust to try to make groups equal.,Please indicate your level of favor (or opposition) to each of the following statements - 12. Group equality should not be our primary goal.,Please indicate your level of favor (or opposition) to each of the following statements - 13. We should work to give all groups an equal chance to succeed.,Please indicate your level of favor (or opposition) to each of the following statements - 14. We should do what we can to equalize conditions for different groups.,"Please indicate your level of favor (or opposition) to each of the following statements - 15. No matter how much effort it takes, we ought to strive to ensure that all groups have the same chance in life.",Please indicate your level of favor (or opposition) to each of the following statements - 16. Group equality should be our ideal.,Please indicate your level of favor (or opposition) to each of the following statements - 17. Please select Slightly Favor,FL_29 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID17""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_7_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_8_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_13_TEXT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID38""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID39""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID40""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID18_6""}","{""ImportId"":""QID18_7""}","{""ImportId"":""QID18_8""}","{""ImportId"":""QID18_9""}","{""ImportId"":""QID18_10""}","{""ImportId"":""QID18_11""}","{""ImportId"":""QID18_12""}","{""ImportId"":""QID18_13""}","{""ImportId"":""QID18_14""}","{""ImportId"":""QID18_15""}","{""ImportId"":""QID18_16""}","{""ImportId"":""QID18_17""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID10_8""}","{""ImportId"":""QID10_9""}","{""ImportId"":""QID10_10""}","{""ImportId"":""QID10_11""}","{""ImportId"":""QID10_12""}","{""ImportId"":""QID10_13""}","{""ImportId"":""QID10_14""}","{""ImportId"":""QID10_15""}","{""ImportId"":""QID10_16""}","{""ImportId"":""QID10_17""}","{""ImportId"":""FL_29_DO""}"
2021-03-01 13:23:04,2021-03-01 13:24:02,Survey Preview,,100,57,True,2021-03-01 13:24:03,R_2y46Mo3Xu1ymPVQ,,,,,39.3184051513671875,-82.1011962890625,preview,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01 13:37:20,2021-03-01 13:37:24,Survey Preview,,100,3,True,2021-03-01 13:37:25,R_2OHdNK6tHe0OVVh,,,,,39.7183990478515625,-82.6072998046875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01 14:00:56,2021-03-01 14:03:12,Survey Preview,,100,136,True,2021-03-01 14:03:13,R_1FtiyMXRzR7QmS8,,,,,39.3184051513671875,-82.1011962890625,preview,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LowSESManipulation
2021-03-10 19:40:33,2021-03-10 20:02:52,IP Address,23.123.250.207,100,1339,True,2021-03-10 20:02:52,R_3njjoHsUGZkj903,,,,,39.7183990478515625,-82.6072998046875,anonymous,EN,Yes,25,Female,,White,,Protestant Christian,,Moderate Liberal,"$80,000 to $89,999",Some College,Some College,,,,,,Trust Fund Babies,Fortune 500 CEO's,Wall Street peeps,4,A,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,80,60,80,50,80,80,80,80,80,C,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Disagree,Slightly Agree,Neutral,Slightly Disagree,Slightly Disagree,Moderately Agree,Slightly Disagree,Slightly Agree,Strongly Disagree,Slightly Disagree,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,LowSESManipulation
2021-03-11 11:59:35,2021-03-11 12:07:41,IP Address,24.26.137.127,100,485,True,2021-03-11 12:07:41,R_1dyoEY7oXY7u2lY,,,,,39.3184051513671875,-82.1011962890625,anonymous,EN,Yes,22,Male,,White,,Atheist,,Neutral,"$150,000 or more",Bachelor's Degree,Bachelor's Degree,"Homeless ",Oppressed,"Criminals ",7,A,,,,,,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,100,100,100,100,100,100,100,100,C,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Slightly Disagree,Neutral,Neutral,Slightly Agree,Neutral,Neutral,Moderately Disagree,Slightly Disagree,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Somewhat Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,HighSESManipulation
2021-03-11 13:21:52,2021-03-11 13:30:34,IP Address,74.199.107.3,100,521,True,2021-03-11 13:30:34,R_3iUOnZ2PeMtPOxA,,,,,40.0233001708984375,-83.08589935302734375,anonymous,EN,Yes,19,Female,,White,,Other Christian,,Moderate Liberal,"$100,000 to $149,999",Bachelor's Degree,Bachelor's Degree,Homeless people,"People with little essential needs ",little to no income,8,A,,,,,,Moderately Agree,Neutral,Neutral,Slightly Disagree,Neutral,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Moderately Disagree,Strongly Disagree,Neutral,Slightly Agree,Neutral,Neutral,Neutral,Neutral,87,95,76,90,87,81,97,75,69,C,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Favor,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly Favor,Slightly Favor,Somewhat Favor,Slightly Favor,HighSESManipulation
2021-03-12 06:38:11,2021-03-12 06:47:52,IP Address,74.137.96.203,100,580,True,2021-03-12 06:47:53,R_3nHHyM5cW5GcsZv,,,,,41.302398681640625,-82.99179840087890625,anonymous,EN,Yes,38,Female,,White,,Other Christian,,Neutral,"$100,000 to $149,999",Associate's Degree,High School Diploma,,,,,,doctors,"politicians ",lawyers,6,A,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Neutral,Strongly Agree,Moderately Disagree,Slightly Agree,Slightly Disagree,Neutral,Slightly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Neutral,Slightly Disagree,Neutral,68,68,37,69,62,70,68,63,34,C,Moderately Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Neutral,Moderately Agree,Slightly Disagree,Neutral,Slightly Disagree,Slightly Agree,Slightly Disagree,Moderately Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Oppose,Somewhat Oppose,Slightly Oppose,Somewhat Oppose,Somewhat Favor,Slightly Favor,Slightly Favor,Slightly Favor,Slightly Oppose,Slightly Oppose,Slightly Oppose,Slightly Favor,Slightly Favor,Slightly Favor,Slightly Favor,Slightly Favor,Slightly Favor,LowSESManipulation
2021-03-12 10:45:12,2021-03-12 10:53:33,IP Address,107.77.194.65,100,500,True,2021-03-12 10:53:33,R_1q9cA5r9aKEfyoE,,,,,39.9586944580078125,-82.9987030029296875,anonymous,EN,Yes,18,Female,,White,,Atheist,,Neutral,"$40,000 to $49,999",Bachelor's Degree,Some College,Homeless people,Single Parents,Child in poverty,6,A,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,100,100,100,100,100,100,100,100,C,Neutral,Neutral,Neutral,Neutral,Slightly Agree,Neutral,Neutral,Slightly Disagree,Neutral,Neutral,Neutral,Slightly Agree,Slightly Agree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Slightly Disagree,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,HighSESManipulation
