Progress,Duration,D1,D2,D2_1,D3,D3_1,D4,D4_1,D5_1,D6,D7,D8,HighSES_1,HighSES_2,HighSES_3,HighSES_4,ATT_1,LowSES_1,LowSES_2,LowSES_3,LowSES_4,ATT_2,WPS_1,WPS_2,WPS_3,WPS_4,WPS_5,ATT_3,WG_1,WG_2,WG_3,WG_4,WG_5,ATT_4,MRS_1,MRS_2,MRS_3,MRS_4,MRS_5,MRS_6,ATT_5,RGP_1,RGP_2,RGP_3,RGP_4,RGP_5,RGP_6,RGP_7,RGP_8,RGP_9,ATT_6,CSER_1,CSER_2,CSER_3,CSER_4,CSER_5,CSER_6,CSER_7,CSER_8,CSER_9,CSER_10,CSER_11,CSER_12,CSER_13,CSER_14,CSER_15,CSER_16,ATT_7,SDO_1,SDO_2,SDO_3,SDO_4,SDO_5,SDO_6,SDO_7,SDO_8,SDO_9,SDO_10,SDO_11,SDO_12,SDO_13,SDO_14,SDO_15,SDO_16,ATT_8,Condition
Progress,Duration (in seconds),What is your age?,What is your gender identity? - Selected Choice,What is your gender identity? - Other - Text,What racial group (or groups) do you identify as? - Selected Choice,What racial group (or groups) do you identify as? - Other (Please Specify) - Text,What is your religious affiliation? - Selected Choice,What is your religious affiliation? - Other (Please Specify) - Text,What is your political affiliation? - Your Affiliation,"What would you estimate is your family's total household income, before taxes?",What is the highest education level attained by your mother?,What is the highest education level attained by your father?,Example 1,Example 2,Example 3,Where would you rank yourself on the ladder relative to those at the very bottom? - Your perceived ranking relative to those at the bottom of the ladder,Please select A.,Example 1,Example 2,Example 3,Where would you rank yourself on the ladder relative to those at the very top? - Your perceived ranking relative to those at the top of the ladder,Please select A.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 1. White people have certain advantages that minorities do not have in this society.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 2. My status as a White person grants me unearned privileges in today’s society.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 3. I feel that White skin in the United States opens many doors for Whites during their everyday lives.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 4. I do not feel that White people have any benefits or privileges due to their race.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 5. My skin color is an asset to me in my everyday life.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 6. Please select Strongly Agree,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 1. Although I feel my behavior is typically nondiscriminatory toward Blacks, I still feel guilt due to my association with the White race.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 2. I feel guilty about the past and present social inequality of Black Americans.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 3. I do not feel guilty about social inequality between White and Black Americans.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 4. When I learn about racism, I feel guilt due to my association with the White race.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 5. I feel guilty about the benefits and privileges that I receive as a White American.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 6. Please select Moderately Disagree,Please indicate your level of agreement (or disagreement) with each of the following statements. - 1. Discrimination against Black people is no longer a problem in the United States.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 2. It is easy to understand the anger of Black people in America.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 3. Black people are getting too demanding in their push for equal rights.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 4. Black people should not push themselves where they are not wanted.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 5. Over the past few years, Black people have gotten more economically than they deserve.","Please indicate your level of agreement (or disagreement) with each of the following statements. - 6. Over the past few years, the government and news media have shown more respect to Black people then they deserve.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 7. Please select Neutral,"Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Black People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - White People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Muslim People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Christian People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Jewish People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - LGBTQA People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Heterosexual People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Agnostic People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Atheist People",Please select C.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 1. Overall, my race has very little to do with how I feel about myself.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 2. My race is an important reflection of who I am.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 3. My race is unimportant to my sense of what kind of a person I am.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 4. In general, my race is an important part of my self-image.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 5. I am a worthy member of the race I belong to.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 6. I often regret that I belong to the race I do.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 7. Overall, my race is considered good by others.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 8. I feel I don’t have much to offer to the race I belong to.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 9. In general, I’m glad to be a member of the race I belong to.","Please indicate your level of agreement (or disagreement) with each of the following statements. - 10. Most people consider my race, on the average, to be more ineffective than other racial groups.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 11. I am a cooperative participant in the race I belong to.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 12. Overall, I often feel that the race of which I am a member is not worthwhile.","Please indicate your level of agreement (or disagreement) with each of the following statements. - 13. In general, others respect the race that I am a member of.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 14. I often feel I am a useless member of my race.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 15. I feel good about the race I belong to.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 16. In general, others think that the race I am a member of is unworthy.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 17. Please select Slightly Disagree,Please indicate your level of favor (or opposition) to each of the following statements - 1. Some groups of people must be kept in their place.,Please indicate your level of favor (or opposition) to each of the following statements - 2. It’s probably a good thing that certain groups are at the top and other groups are at the bottom.,Please indicate your level of favor (or opposition) to each of the following statements - 3. An ideal society requires some groups to be on top and others to be on the bottom.,Please indicate your level of favor (or opposition) to each of the following statements - 4. Some groups of people are simply inferior to other groups.,Please indicate your level of favor (or opposition) to each of the following statements - 5. Groups at the bottom are just as deserving as groups at the top.,Please indicate your level of favor (or opposition) to each of the following statements - 6. No one group should dominate in society.,Please indicate your level of favor (or opposition) to each of the following statements - 7. Groups at the bottom should not have to stay in their place.,Please indicate your level of favor (or opposition) to each of the following statements - 8. Group dominance is a poor principle.,Please indicate your level of favor (or opposition) to each of the following statements - 9. We should not push for group equality.,Please indicate your level of favor (or opposition) to each of the following statements - 10. We shouldn’t try to guarantee that every group has the same quality of life.,Please indicate your level of favor (or opposition) to each of the following statements - 11. It is unjust to try to make groups equal.,Please indicate your level of favor (or opposition) to each of the following statements - 12. Group equality should not be our primary goal.,Please indicate your level of favor (or opposition) to each of the following statements - 13. We should work to give all groups an equal chance to succeed.,Please indicate your level of favor (or opposition) to each of the following statements - 14. We should do what we can to equalize conditions for different groups.,"Please indicate your level of favor (or opposition) to each of the following statements - 15. No matter how much effort it takes, we ought to strive to ensure that all groups have the same chance in life.",Please indicate your level of favor (or opposition) to each of the following statements - 16. Group equality should be our ideal.,Please indicate your level of favor (or opposition) to each of the following statements - 17. Please select Slightly Favor,FL_29 - Block Randomizer - Display Order
"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_7_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_8_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_13_TEXT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID38""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID39""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID40""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID18_6""}","{""ImportId"":""QID18_7""}","{""ImportId"":""QID18_8""}","{""ImportId"":""QID18_9""}","{""ImportId"":""QID18_10""}","{""ImportId"":""QID18_11""}","{""ImportId"":""QID18_12""}","{""ImportId"":""QID18_13""}","{""ImportId"":""QID18_14""}","{""ImportId"":""QID18_15""}","{""ImportId"":""QID18_16""}","{""ImportId"":""QID18_17""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID10_8""}","{""ImportId"":""QID10_9""}","{""ImportId"":""QID10_10""}","{""ImportId"":""QID10_11""}","{""ImportId"":""QID10_12""}","{""ImportId"":""QID10_13""}","{""ImportId"":""QID10_14""}","{""ImportId"":""QID10_15""}","{""ImportId"":""QID10_16""}","{""ImportId"":""QID10_17""}","{""ImportId"":""FL_29_DO""}"
100,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LowSESManipulation
100,1339,25,2,,1,,3,,3,10,3,3,,,,,,Trust Fund Babies,Fortune 500 CEO's,Wall Street peeps,4,1,7,7,7,1,7,7,7,7,1,7,7,2,1,7,1,1,1,1,4,80,60,80,50,80,80,80,80,80,3,2,6,1,6,6,7,2,2,5,4,3,3,6,3,5,1,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,5,LowSESManipulation
100,485,22,1,,1,,7,,5,13,5,5,Homeless ,Oppressed,Criminals ,7,1,,,,,,7,7,6,1,2,7,2,6,2,2,2,2,1,7,1,1,1,1,4,100,100,100,100,100,100,100,100,100,3,7,1,7,1,4,4,7,4,4,3,4,4,5,4,4,2,3,1,1,1,1,6,7,7,7,1,1,1,1,7,7,7,7,5,HighSESManipulation
100,521,19,2,,1,,8,,3,12,5,5,Homeless people,People with little essential needs ,little to no income,8,1,,,,,,6,4,4,3,4,7,5,5,3,3,5,2,1,4,5,4,4,4,4,87,95,76,90,87,81,97,75,69,3,3,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,6,4,4,4,4,4,4,4,5,5,6,5,HighSESManipulation
100,580,38,2,,1,,8,,5,12,4,2,,,,,,doctors,politicians ,lawyers,6,1,3,3,3,5,4,7,2,5,3,4,3,2,3,5,3,3,4,3,4,68,68,37,69,62,70,68,63,34,3,6,3,5,3,5,4,6,3,4,3,5,3,6,5,5,3,3,3,2,3,2,6,5,5,5,3,3,3,5,5,5,5,5,5,LowSESManipulation
100,500,18,2,,1,,7,,5,6,5,3,Homeless people,Single Parents,Child in poverty,6,1,,,,,,7,7,7,1,3,7,7,7,1,7,7,2,1,7,1,1,1,1,4,100,100,100,100,100,100,100,100,100,3,4,4,4,4,5,4,4,3,4,4,4,5,5,1,2,1,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,5,HighSESManipulation
