Progress,Duration,D1,D2,D2_1,D3,D3_1,D4,D4_1,D5_1,D6,D7,D8,HighSES_1,HighSES_2,HighSES_3,HighSES_4,ATT_1,LowSES_1,LowSES_2,LowSES_3,LowSES_4,ATT_2,WPS_1,WPS_2,WPS_3,WPS_4,WPS_5,ATT_3,WG_1,WG_2,WG_3,WG_4,WG_5,ATT_4,MRS_1,MRS_2,MRS_3,MRS_4,MRS_5,MRS_6,ATT_5,RGP_1,RGP_2,RGP_3,RGP_4,RGP_5,RGP_6,RGP_7,RGP_8,RGP_9,ATT_6,CSER_1,CSER_2,CSER_3,CSER_4,CSER_5,CSER_6,CSER_7,CSER_8,CSER_9,CSER_10,CSER_11,CSER_12,CSER_13,CSER_14,CSER_15,CSER_16,ATT_7,SDO_1,SDO_2,SDO_3,SDO_4,SDO_5,SDO_6,SDO_7,SDO_8,SDO_9,SDO_10,SDO_11,SDO_12,SDO_13,SDO_14,SDO_15,SDO_16,ATT_8,Condition,attcomp,WPMean,WGMean,SDOMean,CSERMean,MRSMean,rank
100,1339,25,2,,1,,3,,3,10,3,3,,,,NA,1,Trust Fund Babies,Fortune 500 CEO's,Wall Street peeps,4,1,7,7,7,1,7,1,7,7,1,7,7,1,1,7,1,1,1,1,1,80,60,80,50,80,80,80,80,80,1,2,6,1,6,6,7,2,2,5,4,3,3,6,3,5,1,1,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,1,LowSESManipulation,8,7,7,1,4.9375,1,NA
100,485,22,1,,1,,7,,5,13,5,5,Homeless ,Oppressed,Criminals ,7,1,,,,0,0,7,7,6,1,2,1,2,6,2,2,2,1,1,7,1,1,1,1,1,100,100,100,100,100,100,100,100,100,1,7,1,7,1,4,4,7,4,4,3,4,4,5,4,4,2,1,1,1,1,1,6,7,7,7,1,1,1,1,7,7,7,7,1,HighSESManipulation,7,5.8,3.6,1.0625,3.625,1,7
100,521,19,2,,1,,8,,3,12,5,5,Homeless people,People with little essential needs ,little to no income,8,1,,,,0,0,6,4,4,3,4,1,5,5,3,3,5,1,1,4,5,4,4,4,1,87,95,76,90,87,81,97,75,69,1,3,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,6,4,4,4,4,4,4,4,5,5,6,1,HighSESManipulation,7,4.6,4.6,3.625,4.1875,3.6666666666666665,8
100,580,38,2,,1,,8,,5,12,4,2,,,,NA,1,doctors,politicians ,lawyers,6,1,3,3,3,5,4,1,2,5,3,4,3,1,3,5,3,3,4,3,1,68,68,37,69,62,70,68,63,34,1,6,3,5,3,5,4,6,3,4,3,5,3,6,5,5,3,1,3,2,3,2,6,5,5,5,3,3,3,5,5,5,5,5,1,LowSESManipulation,8,3.2,3.8,2.9375,4.25,3.1666666666666665,NA
100,500,18,2,,1,,7,,5,6,5,3,Homeless people,Single Parents,Child in poverty,6,1,,,,0,0,7,7,7,1,3,1,7,7,1,7,7,1,1,7,1,1,1,1,1,100,100,100,100,100,100,100,100,100,1,4,4,4,4,5,4,4,3,4,4,4,5,5,1,2,1,1,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,1,HighSESManipulation,7,6.2,7,1,4.3125,1,6
100,183,20,2,,1,,8,,7,13,3,5,,,,NA,1,people without jobs,people without education,immigrants ,5,1,5,5,5,5,5,1,5,5,4,4,4,1,2,5,2,2,2,2,1,86,100,73,90,74,67,100,65,19,1,1,1,1,1,1,1,7,1,7,7,7,7,7,7,6,5,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,LowSESManipulation,7,4.6,4.4,4,4.375,2.1666666666666665,NA
100,368,19,2,,1,,7,,2,13,6,7,Homeless people,"Farmers, factory workers","Construction workers, truck drivers",7,1,,,,0,0,7,7,7,1,7,1,5,7,1,5,6,1,1,4,1,1,1,1,1,80,70,77,10,80,90,70,80,80,1,3,6,3,5,5,4,3,4,5,1,3,1,4,2,3,1,1,1,1,1,1,6,7,7,6,1,1,1,1,7,7,7,7,1,HighSESManipulation,7,7,6,1.125,4.875,1.5,7
100,1062,18,2,,1,,5,,4,13,5,5,,,,NA,1,Bill Gates ,Jeff Bezos ,Elon Musk ,6,1,6,6,6,2,4,1,3,5,3,3,5,1,1,6,2,1,2,3,1,85,85,85,85,85,85,85,85,85,1,6,4,5,3,6,2,4,4,5,3,5,2,6,2,4,2,1,1,1,1,1,7,7,7,7,1,1,1,2,7,7,6,7,1,LowSESManipulation,8,5.6,4.2,1.125,4.625,1.8333333333333333,NA
100,2309,18,2,,1,,7,,3,7,4,6,,,,NA,1,Politicians,Celeberties,Buisness owners,5,1,7,6,7,1,4,1,6,6,2,6,7,1,1,6,1,1,1,1,1,80,50,84,14,44,100,51,53,95,1,4,5,5,3,4,3,3,2,4,3,4,4,5,2,3,4,1,3,1,1,1,6,6,7,6,1,2,1,1,7,7,7,6,1,LowSESManipulation,8,6.2,6.2,1.4375,4.1875,1.1666666666666667,NA
100,699,19,2,,1,,5,,3,7,5,5,homeless,jobless,minimum wage workers,4,1,,,,0,0,6,6,6,2,5,1,3,5,3,5,5,1,1,7,1,1,1,1,1,85,80,85,75,50,95,85,50,80,1,4,4,5,5,4,3,4,3,5,3,4,4,5,4,3,4,1,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,1,HighSESManipulation,7,5.8,4.6,1,4.1875,1,4
100,2065,18,2,,1,,5,,3,7,5,5,,,,NA,1,Successful entrepreneurs ,Athletes,Actors,2,1,5,6,4,1,4,1,6,6,2,6,7,1,1,6,1,2,5,5,1,100,71,100,84,71,100,100,88,89,1,5,2,4,4,3,6,2,5,2,4,4,4,6,5,2,4,1,1,2,2,5,6,6,6,4,1,3,2,1,6,7,7,7,1,LowSESManipulation,8,5.2,6.2,2,3.1875,2.6666666666666665,NA
