"","Age","Gender","Race","Religion","Politics","SES","Education","Response_1","Response_2","Response_3","Rank","RGP_1","RGP_2","RGP_3","RGP_4","RGP_5","RGP_6","RGP_7","RGP_8","RGP_9","Condition","sdo_mean","wps_mean","wg_mean","mrs_mean","cse_total","cse_private","cse_public","cse_membership","cse_identity"
"1","18","Female","White","Catholic",7,12,"Bachelor's Degree","The president of the United States","the Kardashians ","Lebron James ","5","100","100","100","100","100","100","100","100","100","LowSESManipulation",3.5,2.8,4,2,4.75,5.75,4.75,5.25,3.25
"2","22","Male","White","Judaism",1,4,"Some College","Manual workers","Low-paid workers","Non-land owning people","7","80","60","50","40","100","60","51","40","40","HighSESManipulation",1.4375,5.8,1,1,3.25,4,4.75,3.25,1
"3","","Gender-Fluid","White","Not Affiliated",2,3,"Associate's Degree","Homeless","Murderers","Burglars","6","100","50","100","31","100","100","100","100","100","HighSESManipulation",1,5.8,6.8,1,3.25,2.5,5.25,2.5,2.75
"4","18","Female","White","Atheist",2,8,"Bachelor's Degree","Politicians","Owners of large corporations/companies like Amazon, Wal-Mart, etc.","Surgeons","5","100","90","100","90","100","100","100","100","100","LowSESManipulation",1,7,6.4,1,4.125,4.5,6.75,4.25,1
"5","19","Female","White","No religious affiliation",2,11,"Master's Degree","African Americans","South American immigrants","Latinx peoples","8","100","25","100","20","100","100","60","100","100","HighSESManipulation",1.0625,6.8,6.6,2,3.5,3.5,4,3.75,2.75
"6","20","Female","White","Spiritual",1,9,"High School Diploma","Government officials, especially those in Congress","Actors/singers","Doctors/lawyers","6","95","25","75","25","95","95","75","55","50","LowSESManipulation",1.75,5.6,7,1.16666666666667,3.5,3,3.25,4,3.75
"7","18","Female","White","None ",5,8,"Associate's Degree","No high school diploma ","working multiple jobs to keep up with things ","homeless","7","85","85","85","50","85","85","65","20","100","HighSESManipulation",2.875,5.8,6.8,2.16666666666667,4.3125,5,5,4,3.25
"8","","Male","White","Prefer Not To Answer",5,11,"Master's Degree","Athletes make more money than almost anyone to play a sport when other people deserve to make more money but we pay them millions","Doctors lots of education and helping people very well deserved ","Lawyers help people and is well deserved ","5","90","90","90","90","90","90","90","90","90","LowSESManipulation",1.5625,2.4,2.2,3.83333333333333,4.1875,4.75,5.5,4,2.5
"9","19","Female","White","Evangelical Christian",8,12,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.","People who have taken advantage of the American Dream/equal opportunity","People who have successful parents","People who got rich out of luck or provision/equal guarantee","8","90","90","30","90","80","20","90","50","20","LowSESManipulation",4,2.2,1.8,4.66666666666667,3.75,5.5,3,5.5,1
"10","18","Female","White","Catholic",5,11,"Bachelor's Degree","the poor","the impared","the unemployed","6","100","100","100","100","100","100","98","27","46","HighSESManipulation",2.5,4.6,6.2,1,4.9375,6,6.5,6.25,1
"11","34","Male","White","Atheist",4,11,"High School Diploma","politicians","Corporate CEO","Movie Producers","7","100","10","100","","100","100","23","100","100","LowSESManipulation",1.75,7,5.8,1.16666666666667,4.0625,4,5.5,5.75,1
"12","18","Female","White","Prefer Not To Answer",6,6,"Bachelor's Degree","An example is Jeff Bezos. He is one of the richest men in the world. ","Another example is Elon Musk. The founder of Tesla.","Lastly Bill Gates.","3","88","68","51","57","94","53","80","100","100","LowSESManipulation",2.125,6.4,4.8,2,4.4375,5,5.75,5,2
"13","18","Female","White","Catholic",4,8,"Bachelor's Degree","Homeless people ","Muslims","Asians ","7","100","92","78","87","87","100","100","100","49","HighSESManipulation",3,3.8,5,1.16666666666667,5.125,7,6.25,4.75,2.5
