StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,C1,D1,D2,D2_7_TEXT,D3,D3_8_TEXT,D4,D4_13_TEXT,D5_1,D6,D7,D8,SDO_1,SDO_2,SDO_3,SDO_4,SDO_5,SDO_6,SDO_7,SDO_8,SDO_9,SDO_10,SDO_11,SDO_12,SDO_13,SDO_14,SDO_15,SDO_16,SDO_17,Q37,Q36,Q35,Q38,Q26_1,Q32,Q33,Q34,Q29_1,Q39,WPS_1,WPS_2,WPS_3,WPS_4,WPS_5,WPS_6,WG_1,WG_2,WG_3,WG_4,WG_5,WG_6,MRS_1,MRS_2,MRS_3,MRS_4,MRS_5,MRS_6,MRS_7,RGP_1,RGP_2,RGP_3,RGP_4,RGP_5,RGP_6,RGP_7,RGP_8,RGP_9,Q40,CSER_1,CSER_2,CSER_3,CSER_4,CSER_5,CSER_6,CSER_7,CSER_8,CSER_9,CSER_10,CSER_11,CSER_12,CSER_13,CSER_14,CSER_15,CSER_16,CSER_17,SC0,FL_29_DO,SocialDominanceOrientation_DO,WhitePrivilegeScale_DO,WhiteGuiltScale_DO,ModernRacismScale_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to participation in this study?,What is your age?,What is your gender identity? - Selected Choice,What is your gender identity? - Other - Text,What racial group (or groups) do you identify as? - Selected Choice,What racial group (or groups) do you identify as? - Other (Please Specify) - Text,What is your religious affiliation? - Selected Choice,What is your religious affiliation? - Other (Please Specify) - Text,What is your political affiliation? - Your Affiliation,"What would you estimate is your family's total household income, before taxes?",What is the highest education level attained by your mother?,What is the highest education level attained by your father?,Please indicate your level of favor (or opposition) to each of the following statements - Some groups of people must be kept in their place.,Please indicate your level of favor (or opposition) to each of the following statements - It’s probably a good thing that certain groups are at the top and other groups are at the bottom.,Please indicate your level of favor (or opposition) to each of the following statements - An ideal society requires some groups to be on top and others to be on the bottom.,Please indicate your level of favor (or opposition) to each of the following statements - Some groups of people are simply inferior to other groups.,Please indicate your level of favor (or opposition) to each of the following statements - Groups at the bottom are just as deserving as groups at the top.,Please indicate your level of favor (or opposition) to each of the following statements - No one group should dominate in society.,Please indicate your level of favor (or opposition) to each of the following statements - Groups at the bottom should not have to stay in their place.,Please indicate your level of favor (or opposition) to each of the following statements - Group dominance is a poor principle.,Please indicate your level of favor (or opposition) to each of the following statements - We should not push for group equality.,Please indicate your level of favor (or opposition) to each of the following statements - We shouldn’t try to guarantee that every group has the same quality of life.,Please indicate your level of favor (or opposition) to each of the following statements - It is unjust to try to make groups equal.,Please indicate your level of favor (or opposition) to each of the following statements - Group equality should not be our primary goal.,Please indicate your level of favor (or opposition) to each of the following statements - We should work to give all groups an equal chance to succeed.,Please indicate your level of favor (or opposition) to each of the following statements - We should do what we can to equalize conditions for different groups.,"Please indicate your level of favor (or opposition) to each of the following statements - No matter how much effort it takes, we ought to strive to ensure that all groups have the same chance in life.",Please indicate your level of favor (or opposition) to each of the following statements - Group equality should be our ideal.,Please indicate your level of favor (or opposition) to each of the following statements - Please select Slightly Favor,Example 1,Example 2,Example 3,Please select A.,Where would you rank yourself on the ladder relative to those at the very bottom? - Your ranking relative to those at the bottom of the ladder,Example 1,Example 2,Example 3,Where would you rank yourself on the ladder relative to those at the very top? - Your ranking relative to those at the top of the ladder,Please select A.,Please indicate your level of agreement (or disagreement) with each of the following statements. - White people have certain advantages that minorities do not have in this society.,Please indicate your level of agreement (or disagreement) with each of the following statements. - My status as a White person grants me unearned privileges in today’s society.,Please indicate your level of agreement (or disagreement) with each of the following statements. - I feel that White skin in the United States opens many doors for Whites during their everyday lives.,Please indicate your level of agreement (or disagreement) with each of the following statements. - I do not feel that White people have any benefits or privileges due to their race.,Please indicate your level of agreement (or disagreement) with each of the following statements. - My skin color is an asset to me in my everyday life.,Please indicate your level of agreement (or disagreement) with each of the following statements. - Please select Strongly Agree,"Please indicate your level of agreement (or disagreement) with each of the following statements. - Although I feel my behavior is typically nondiscriminatory toward Blacks, I still feel guilt due to my association with the White race.",Please indicate your level of agreement (or disagreement) with each of the following statements. - I feel guilty about the past and present social inequality of Black Americans.,Please indicate your level of agreement (or disagreement) with each of the following statements. - I do not feel guilty about social inequality between White and Black Americans.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - When I learn about racism, I feel guilt due to my association with the White race.",Please indicate your level of agreement (or disagreement) with each of the following statements. - I feel guilty about the benefits and privileges that I receive as a White American.,Please indicate your level of agreement (or disagreement) with each of the following statements. - Please select Moderately Disagree,Please indicate your level of agreement (or disagreement) with each of the following statements. - Discrimination against Black people is no longer a problem in the United States.,Please indicate your level of agreement (or disagreement) with each of the following statements. - It is easy to understand the anger of Black people in America.,Please indicate your level of agreement (or disagreement) with each of the following statements. - Black people are getting too demanding in their push for equal rights.,Please indicate your level of agreement (or disagreement) with each of the following statements. - Black people should not push themselves where they are not wanted.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - Over the past few years, Black people have gotten more economically than they deserve.","Please indicate your level of agreement (or disagreement) with each of the following statements. - Over the past few years, the government and news media have shown more respect to Black people then they deserve.",Please indicate your level of agreement (or disagreement) with each of the following statements. - Please select Neutral,"Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Black People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - White People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Muslim People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Christian People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Jewish People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - LGBTQA People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Heterosexual People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Agnostic People","Using the thermometer below from a scale of 0 (very negative) to 100 (very positive), please indicate how you feel about each of the following groups - Atheist People",Please select C.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 1. Overall, my race has very little to do with how I feel about myself.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 2. My race is an important reflection of who I am.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 3. My race is unimportant to my sense of what kind of a person I am.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 4. In general, my race is an important part of my self-image.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 5. I am a worthy member of the race I belong to.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 6. I often regret that I belong to the race I do.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 7. Overall, my race is considered good by others.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 8. I feel I don’t have much to offer to the race I belong to.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 9. In general, I’m glad to be a member of the race I belong to.","Please indicate your level of agreement (or disagreement) with each of the following statements. - 10. Most people consider my race, on the average, to be more ineffective than other racial groups.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 11. I am a cooperative participant in the race I belong to.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 12. Overall, I often feel that the race of which I am a member is not worthwhile.","Please indicate your level of agreement (or disagreement) with each of the following statements. - 13. In general, others respect the race that I am a member of.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 14. I often feel I am a useless member of my race.,Please indicate your level of agreement (or disagreement) with each of the following statements. - 15. I feel good about the race I belong to.,"Please indicate your level of agreement (or disagreement) with each of the following statements. - 16. In general, others think that the race I am a member of is unworthy.",Please indicate your level of agreement (or disagreement) with each of the following statements. - 17. Please select Slightly Disagree,Score,FL_29 - Block Randomizer - Display Order,Social Dominance Orientation - Display Order,White Privilege Scale - Display Order,White Guilt Scale - Display Order,Modern Racism Scale - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID17""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_7_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_8_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_13_TEXT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID10_8""}","{""ImportId"":""QID10_9""}","{""ImportId"":""QID10_10""}","{""ImportId"":""QID10_11""}","{""ImportId"":""QID10_12""}","{""ImportId"":""QID10_13""}","{""ImportId"":""QID10_14""}","{""ImportId"":""QID10_15""}","{""ImportId"":""QID10_16""}","{""ImportId"":""QID10_17""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID39""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID40""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID18_6""}","{""ImportId"":""QID18_7""}","{""ImportId"":""QID18_8""}","{""ImportId"":""QID18_9""}","{""ImportId"":""QID18_10""}","{""ImportId"":""QID18_11""}","{""ImportId"":""QID18_12""}","{""ImportId"":""QID18_13""}","{""ImportId"":""QID18_14""}","{""ImportId"":""QID18_15""}","{""ImportId"":""QID18_16""}","{""ImportId"":""QID18_17""}","{""ImportId"":""SC_d0DnIxEjfUYh5Yy""}","{""ImportId"":""FL_29_DO""}","{""ImportId"":""BL_0UjhBYiEIO1PFOe_DO""}","{""ImportId"":""BL_bDYJyivSf7ofhoa_DO""}","{""ImportId"":""BL_8e45uJtSYlPiAPs_DO""}","{""ImportId"":""BL_4IuLj0JzziYqAqW_DO""}"
2022-09-13 09:15:27,2022-09-13 09:29:12,IP Address,132.235.98.241,100,824,True,2022-09-13 09:29:13,R_3j7roSvgldaOHRL,,,,,39.3184,-82.1012,anonymous,EN,Yes,18,Female,,White,,Catholic,,Moderate Conservative,"$150,000 or more",Bachelor's Degree,Bachelor's Degree,Neutral,Slightly Oppose,Slightly Oppose,Neutral,Somewhat Favor,Slightly Favor,Slightly Favor,Neutral,Somewhat Oppose,Slightly Favor,Slightly Oppose,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly Favor,,,,,,The president of the United States,"the Kardashians ","Lebron James ",5,A,Neutral,Slightly Disagree,Moderately Disagree,Moderately Agree,Slightly Disagree,Strongly Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Neutral,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Neutral,100,100,100,100,100,100,100,100,100,C,Moderately Agree,Neutral,Slightly Agree,Neutral,Slightly Agree,Slightly Disagree,Moderately Disagree,Slightly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Slightly Disagree,Moderately Agree,Slightly Disagree,Slightly Disagree,234,LowSESManipulation,SDO,WPS,WG,MRS
2022-09-13 10:59:31,2022-09-13 11:06:15,IP Address,64.247.67.32,100,404,True,2022-09-13 11:06:15,R_3LgPUoOwGAeoIOG,,,,,39.3184,-82.1012,anonymous,EN,Yes,22,Male,,White,,Judaism,,Extreme Liberal,"$30,000 to $39,999",Some College,,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Somewhat Favor,Strongly Favor,Strongly Favor,Slightly Favor,Manual workers,Low-paid workers,Non-land owning people,A,7,,,,,,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Disagree,Moderately Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,80,60,50,40,100,60,51,40,40,C,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Moderately Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Moderately Disagree,Neutral,Strongly Disagree,Neutral,Slightly Disagree,186,HighSESManipulation,SDO,WPS,WG,MRS
2022-09-13 11:19:11,2022-09-13 11:28:10,IP Address,71.73.56.123,100,539,True,2022-09-13 11:28:10,R_2zZwFP2I7DqqdaW,,,,,41.502,-82.0091,anonymous,EN,Yes,,Other,Gender-Fluid,White,,Other (Please Specify),Not Affiliated,Strong Liberal,"$20,000 to $29,999",Associate's Degree,High School Diploma,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,Homeless,Murderers,Burglars,A,6,,,,,,Strongly Agree,Moderately Agree,Moderately Agree,Strongly Disagree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,50,100,31,100,100,100,100,100,C,Slightly Disagree,Moderately Disagree,Slightly Agree,Strongly Disagree,Strongly Disagree,Moderately Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Moderately Disagree,Slightly Disagree,Slightly Disagree,233,HighSESManipulation,SDO,WPS,WG,MRS
2022-09-13 11:23:10,2022-09-13 11:44:30,IP Address,174.101.98.208,100,1279,True,2022-09-13 11:44:30,R_3nl2l124XaCly5o,,,,,39.338,-82.986,anonymous,EN,Yes,18,Female,,White,,Atheist,,Strong Liberal,"$70,000 to $79,999",Bachelor's Degree,Associate's Degree,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,,,,,,Politicians,"Owners of large corporations/companies like Amazon, Wal-Mart, etc.",Surgeons,5,A,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,90,100,90,100,100,100,100,100,C,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Moderately Disagree,Moderately Agree,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Agree,Slightly Disagree,Neutral,Strongly Disagree,Slightly Disagree,237,LowSESManipulation,SDO,WPS,WG,MRS
2022-09-13 11:39:40,2022-09-13 12:04:14,IP Address,64.247.81.7,100,1474,True,2022-09-13 12:04:14,R_pKLRmaIpH6FNKtX,,,,,39.3184,-82.1012,anonymous,EN,Yes,19,Female,,White,,Other (Please Specify),No religious affiliation,Strong Liberal,"$100,000 to $149,999",Master's Degree,Master's Degree,Somewhat Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,African Americans,South American immigrants,Latinx peoples,A,8,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,25,100,20,100,100,60,100,100,C,Moderately Agree,Slightly Disagree,Neutral,Moderately Disagree,Neutral,Slightly Agree,Slightly Disagree,Neutral,Slightly Agree,Neutral,Slightly Disagree,Slightly Agree,Moderately Agree,Neutral,Slightly Disagree,Slightly Agree,Slightly Disagree,253,HighSESManipulation,SDO,WPS,WG,MRS
2022-09-13 11:38:18,2022-09-13 12:05:08,IP Address,71.67.108.217,100,1609,True,2022-09-13 12:05:08,R_12gV2uM8Mv0Aese,,,,,39.336,-84.3126,anonymous,EN,Yes,20,Female,,White,,Spiritual,,Extreme Liberal,"$80,000 to $89,999",High School Diploma,Bachelor's Degree,Neutral,Somewhat Oppose,Somewhat Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Slightly Favor,Somewhat Favor,Somewhat Oppose,Strongly Oppose,Somewhat Oppose,Somewhat Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Somewhat Favor,Slightly Favor,,,,,,"Government officials, especially those in Congress",Actors/singers,Doctors/lawyers,6,A,Strongly Agree,Moderately Agree,Slightly Agree,Moderately Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,95,25,75,25,95,95,75,55,50,C,Slightly Disagree,Neutral,Slightly Agree,Slightly Disagree,Neutral,Slightly Agree,Strongly Disagree,Neutral,Slightly Disagree,Neutral,Neutral,Slightly Agree,Neutral,Neutral,Slightly Disagree,Neutral,Slightly Disagree,241,LowSESManipulation,SDO,WPS,WG,MRS
2022-09-13 12:22:14,2022-09-13 12:33:24,IP Address,64.247.68.23,100,669,True,2022-09-13 12:33:24,R_3qm7xCQUsE4Yrd3,,,,,39.3184,-82.1012,anonymous,EN,Yes,18,Female,,White,,Other (Please Specify),"None ",Neutral,"$70,000 to $79,999",Associate's Degree,Some College,Slightly Favor,Slightly Favor,Slightly Favor,Slightly Oppose,Somewhat Favor,Strongly Favor,Strongly Favor,Somewhat Favor,Somewhat Oppose,Strongly Oppose,Neutral,Neutral,Strongly Favor,Neutral,Somewhat Favor,Neutral,Slightly Favor,"No high school diploma ","working multiple jobs to keep up with things ",homeless,A,7,,,,,,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Moderately Agree,Moderately Disagree,Strongly Disagree,Slightly Agree,Moderately Disagree,Strongly Disagree,Neutral,Moderately Disagree,Neutral,85,85,85,50,85,85,65,20,100,C,Slightly Agree,Slightly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Moderately Agree,Strongly Agree,Moderately Agree,Neutral,Slightly Agree,Slightly Disagree,Moderately Agree,Slightly Agree,Slightly Agree,Neutral,Slightly Disagree,282,HighSESManipulation,SDO,WPS,WG,MRS
2022-09-13 13:46:12,2022-09-13 14:11:27,IP Address,216.255.43.12,100,1515,True,2022-09-13 14:11:27,R_823yVxkThC7C2Gd,,,,,39.338,-82.986,anonymous,EN,Yes,,Male,,White,,Prefer Not To Answer,,Neutral,"$100,000 to $149,999",Master's Degree,Master's Degree,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Neutral,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,,,,,,Athletes make more money than almost anyone to play a sport when other people deserve to make more money but we pay them millions,"Doctors lots of education and helping people very well deserved ","Lawyers help people and is well deserved ",5,A,Moderately Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,90,90,90,90,90,90,90,90,90,C,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Slightly Disagree,185,LowSESManipulation,SDO,WPS,WG,MRS
